LocalDate,CloudCover,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/17/2018,1/4 of sky,,,,,,,,,,,,,,
3/17/2018,1/4 of sky,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/17/2018,1/2 of sky,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/18/2018,clear,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/18/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/17/2018,1/2 of sky,,,,,,,,,,,,,,
3/17/2018,1/2 of sky,,,,,,,,,,,,,,
3/17/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/17/2018,1/2 of sky,,,,,,,,,,,,,,
3/17/2018,1/2 of sky,,,,,,,,,,,,,,
3/17/2018,1/2 of sky,,,,,,,,,,,,,,
3/17/2018,1/2 of sky,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/17/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/17/2018,1/4 of sky,,,,,,,,,,,,,,
3/18/2018,clear,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/17/2018,1/4 of sky,,,,,,,,,,,,,,
3/18/2018,clear,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/18/2018,clear,,,,,,,,,,,,,,
3/18/2018,clear,,,,,,,,,,,,,,
3/18/2018,clear,,,,,,,,,,,,,,
3/14/2018,1/4 of sky,,,,,,,,,,,,,,
3/16/2018,1/4 of sky,,,,,,,,,,,,,,
3/8/2018,clear,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/18/2018,clear,,,,,,,,,,,,,,
3/16/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/18/2018,clear,,,,,,,,,,,,,,
3/18/2018,clear,,,,,,,,,,,,,,
3/18/2018,clear,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/18/2018,clear,,,,,,,,,,,,,,
3/18/2018,1/2 of sky,,,,,,,,,,,,,,
3/18/2018,clear,,,,,,,,,,,,,,
3/18/2018,clear,,,,,,,,,,,,,,
3/19/2018,clear,,,,,,,,,,,,,,
3/18/2018,clear,,,,,,,,,,,,,,
3/18/2018,clear,,,,,,,,,,,,,,
3/18/2018,clear,,,,,,,,,,,,,,
3/17/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/17/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/19/2018,clear,,,,,,,,,,,,,,
3/19/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/18/2018,clear,,,,,,,,,,,,,,
3/19/2018,1/4 of sky,,,,,,,,,,,,,,
3/19/2018,clear,,,,,,,,,,,,,,
3/19/2018,clear,,,,,,,,,,,,,,
3/19/2018,clear,,,,,,,,,,,,,,
3/19/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/19/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/19/2018,clear,,,,,,,,,,,,,,
3/19/2018,1/4 of sky,,,,,,,,,,,,,,
3/19/2018,clear,,,,,,,,,,,,,,
3/19/2018,clear,,,,,,,,,,,,,,
3/19/2018,clear,,,,,,,,,,,,,,
3/19/2018,clear,,,,,,,,,,,,,,
3/19/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/16/2018,clear,,,,,,,,,,,,,,
3/14/2018,clear,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/16/2018,clear,,,,,,,,,,,,,,
3/19/2018,clear,,,,,,,,,,,,,,
2/5/2018,clear,,,,,,,,,,,,,,
3/19/2018,clear,,,,,,,,,,,,,,
3/19/2018,clear,,,,,,,,,,,,,,
3/20/2018,1/2 of sky,,,,,,,,,,,,,,
3/9/2018,clear,,,,,,,,,,,,,,
3/15/2018,clear,,,,,,,,,,,,,,
3/20/2018,clear,,,,,,,,,,,,,,
3/9/2018,clear,,,,,,,,,,,,,,
3/15/2018,1/4 of sky,,,,,,,,,,,,,,
3/15/2018,1/4 of sky,,,,,,,,,,,,,,
3/20/2018,1/4 of sky,,,,,,,,,,,,,,
3/15/2018,1/4 of sky,,,,,,,,,,,,,,
3/20/2018,clear,,,,,,,,,,,,,,
3/15/2018,clear,,,,,,,,,,,,,,
3/9/2018,clear,,,,,,,,,,,,,,
3/20/2018,1/4 of sky,,,,,,,,,,,,,,
3/15/2018,1/4 of sky,,,,,,,,,,,,,,
3/14/2018,1/4 of sky,,,,,,,,,,,,,,
3/15/2018,clear,,,,,,,,,,,,,,
3/20/2018,1/2 of sky,,,,,,,,,,,,,,
3/15/2018,clear,,,,,,,,,,,,,,
3/20/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/21/2018,clear,,,,,,,,,,,,,,
3/20/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/21/2018,clear,,,,,,,,,,,,,,
3/21/2018,clear,,,,,,,,,,,,,,
3/20/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/21/2018,clear,,,,,,,,,,,,,,
3/15/2018,clear,,,,,,,,,,,,,,
3/21/2018,clear,,,,,,,,,,,,,,
3/20/2018,clear,,,,,,,,,,,,,,
3/20/2018,clear,,,,,,,,,,,,,,
3/20/2018,clear,,,,,,,,,,,,,,
3/20/2018,1/2 of sky,,,,,,,,,,,,,,
3/21/2018,clear,,,,,,,,,,,,,,
3/19/2018,clear,,,,,,,,,,,,,,
3/20/2018,clear,,,,,,,,,,,,,,
1/26/2018,clear,,,,,,,,,,,,,,
3/21/2018,1/4 of sky,,,,,,,,,,,,,,
3/21/2018,clear,,,,,,,,,,,,,,
3/21/2018,clear,,,,,,,,,,,,,,
3/21/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/21/2018,clear,,,,,,,,,,,,,,
3/21/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/21/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/21/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/22/2018,clear,,,,,,,,,,,,,,
3/22/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/22/2018,clear,,,,,,,,,,,,,,
3/22/2018,1/4 of sky,,,,,,,,,,,,,,
3/22/2018,clear,,,,,,,,,,,,,,
3/22/2018,clear,,,,,,,,,,,,,,
3/22/2018,clear,,,,,,,,,,,,,,
3/22/2018,clear,,,,,,,,,,,,,,
3/22/2018,clear,,,,,,,,,,,,,,
3/23/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/23/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/9/2018,clear,,,,,,,,,,,,,,
3/23/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/24/2018,clear,,,,,,,,,,,,,,
3/24/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/24/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/25/2018,clear,,,,,,,,,,,,,,
3/25/2018,clear,,,,,,,,,,,,,,
3/16/2018,clear,,,,,,,,,,,,,,
3/8/2018,clear,,,,,,,,,,,,,,
3/9/2018,clear,,,,,,,,,,,,,,
3/10/2018,clear,,,,,,,,,,,,,,
3/11/2018,clear,,,,,,,,,,,,,,
3/12/2018,1/4 of sky,,,,,,,,,,,,,,
3/12/2018,clear,,,,,,,,,,,,,,
3/13/2018,clear,,,,,,,,,,,,,,
3/14/2018,1/4 of sky,,,,,,,,,,,,,,
3/15/2018,clear,,,,,,,,,,,,,,
3/16/2018,clear,,,,,,,,,,,,,,
3/16/2018,clear,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/15/2018,clear,,,,,,,,,,,,,,
3/16/2018,clear,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/17/2018,clear,,,,,,,,,,,,,,
3/24/2018,clear,,,,,,,,,,,,,,
3/24/2018,clear,,,,,,,,,,,,,,
3/20/2018,clear,,,,,,,,,,,,,,
3/24/2018,1/4 of sky,,,,,,,,,,,,,,
3/16/2018,1/4 of sky,,,,,,,,,,,,,,
3/14/2018,1/2 of sky,,,,,,,,,,,,,,
3/25/2018,1/2 of sky,,,,,,,,,,,,,,
3/25/2018,clear,,,,,,,,,,,,,,
3/25/2018,1/2 of sky,,,,,,,,,,,,,,
3/26/2018,clear,,,,,,,,,,,,,,
3/26/2018,clear,,,,,,,,,,,,,,
3/26/2018,clear,,,,,,,,,,,,,,
3/14/2018,clear,,,,,,,,,,,,,,
3/13/2018,clear,,,,,,,,,,,,,,
3/27/2018,1/2 of sky,,,,,,,,,,,,,,
3/27/2018,clear,,,,,,,,,,,,,,
3/9/2018,1/4 of sky,,,,,,,,,,,,,,
3/10/2018,clear,,,,,,,,,,,,,,
3/10/2018,1/4 of sky,,,,,,,,,,,,,,
3/11/2018,clear,,,,,,,,,,,,,,
3/2/2018,1/4 of sky,,,,,,,,,,,,,,
3/13/2018,1/2 of sky,,,,,,,,,,,,,,
3/14/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/15/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/16/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/17/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/18/2018,1/2 of sky,,,,,,,,,,,,,,
3/16/2018,clear,,,,,,,,,,,,,,
3/18/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/18/2018,1/2 of sky,,,,,,,,,,,,,,
3/14/2018,clear,,,,,,,,,,,,,,
3/13/2018,1/2 of sky,,,,,,,,,,,,,,
3/28/2018,clear,,,,,,,,,,,,,,
2/20/2018,clear,,,,,,,,,,,,,,
2/20/2018,clear,,,,,,,,,,,,,,
2/20/2018,clear,,,,,,,,,,,,,,
3/27/2018,clear,,,,,,,,,,,,,,
3/27/2018,clear,,,,,,,,,,,,,,
3/28/2018,clear,,,,,,,,,,,,,,
3/28/2018,1/4 of sky,,,,,,,,,,,,,,
3/28/2018,1/2 of sky,,,,,,,,,,,,,,
3/28/2018,clear,,,,,,,,,,,,,,
3/28/2018,clear,,,,,,,,,,,,,,
3/28/2018,1/4 of sky,,,,,,,,,,,,,,
3/29/2018,clear,,,,,,,,,,,,,,
3/29/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/29/2018,1/2 of sky,,,,,,,,,,,,,,
8/1/2018,clear,,,,,,,,,,,,,,
8/1/2018,clear,,,,,,,,,,,,,,
1/8/2018,clear,,,,,,,,,,,,,,
1/8/2018,clear,,,,,,,,,,,,,,
1/8/2018,clear,,,,,,,,,,,,,,
1/8/2018,clear,,,,,,,,,,,,,,
1/8/2018,clear,,,,,,,,,,,,,,
2/13/2018,clear,,,,,,,,,,,,,,
2/13/2018,clear,,,,,,,,,,,,,,
2/20/2018,clear,,,,,,,,,,,,,,
2/20/2018,clear,,,,,,,,,,,,,,
2/20/2018,clear,,,,,,,,,,,,,,
2/20/2018,clear,,,,,,,,,,,,,,
2/20/2018,clear,,,,,,,,,,,,,,
2/20/2018,clear,,,,,,,,,,,,,,
3/29/2018,clear,,,,,,,,,,,,,,
2/20/2018,clear,,,,,,,,,,,,,,
3/29/2018,clear,,,,,,,,,,,,,,
2/20/2018,clear,,,,,,,,,,,,,,
2/20/2018,clear,,,,,,,,,,,,,,
3/29/2018,clear,,,,,,,,,,,,,,
2/10/2018,clear,,,,,,,,,,,,,,
3/29/2018,1/2 of sky,,,,,,,,,,,,,,
3/29/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/29/2018,1/2 of sky,,,,,,,,,,,,,,
3/30/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/30/2018,1/4 of sky,,,,,,,,,,,,,,
3/30/2018,1/4 of sky,,,,,,,,,,,,,,
3/30/2018,1/4 of sky,,,,,,,,,,,,,,
3/30/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/30/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/31/2018,clear,,,,,,,,,,,,,,
3/31/2018,1/2 of sky,,,,,,,,,,,,,,
3/31/2018,1/4 of sky,,,,,,,,,,,,,,
3/16/2018,1/2 of sky,,,,,,,,,,,,,,
3/31/2018,clear,,,,,,,,,,,,,,
3/31/2018,1/2 of sky,,,,,,,,,,,,,,
3/31/2018,1/2 of sky,,,,,,,,,,,,,,
4/1/2018,clear,,,,,,,,,,,,,,
4/2/2018,1/4 of sky,,,,,,,,,,,,,,
4/1/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/1/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/1/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/1/2018,clear,,,,,,,,,,,,,,
4/1/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/1/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/1/2018,1/4 of sky,,,,,,,,,,,,,,
4/2/2018,1/4 of sky,,,,,,,,,,,,,,
4/2/2018,clear,,,,,,,,,,,,,,
4/2/2018,clear,,,,,,,,,,,,,,
3/15/2018,1/4 of sky,,,,,,,,,,,,,,
4/2/2018,1/4 of sky,,,,,,,,,,,,,,
4/2/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/2/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/2/2018,1/2 of sky,,,,,,,,,,,,,,
4/2/2018,1/2 of sky,,,,,,,,,,,,,,
4/3/2018,1/2 of sky,,,,,,,,,,,,,,
4/3/2018,1/4 of sky,,,,,,,,,,,,,,
4/3/2018,1/4 of sky,,,,,,,,,,,,,,
4/3/2018,clear,,,,,,,,,,,,,,
4/3/2018,clear,,,,,,,,,,,,,,
4/3/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/3/2018,clear,,,,,,,,,,,,,,
4/3/2018,1/4 of sky,,,,,,,,,,,,,,
4/4/2018,1/4 of sky,,,,,,,,,,,,,,
4/4/2018,clear,,,,,,,,,,,,,,
4/4/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/4/2018,clear,,,,,,,,,,,,,,
3/15/2018,1/4 of sky,,,,,,,,,,,,,,
3/16/2018,1/4 of sky,,,,,,,,,,,,,,
3/17/2018,1/2 of sky,,,,,,,,,,,,,,
3/18/2018,1/2 of sky,,,,,,,,,,,,,,
3/8/2018,1/4 of sky,,,,,,,,,,,,,,
3/9/2018,1/2 of sky,,,,,,,,,,,,,,
3/10/2018,clear,,,,,,,,,,,,,,
3/11/2018,clear,,,,,,,,,,,,,,
3/12/2018,1/2 of sky,,,,,,,,,,,,,,
3/13/2018,1/2 of sky,,,,,,,,,,,,,,
3/14/2018,1/2 of sky,,,,,,,,,,,,,,
3/15/2018,1/2 of sky,,,,,,,,,,,,,,
3/16/2018,clear,,,,,,,,,,,,,,
4/17/2018,clear,,,,,,,,,,,,,,
4/4/2018,clear,,,,,,,,,,,,,,
4/4/2018,clear,,,,,,,,,,,,,,
4/4/2018,1/4 of sky,,,,,,,,,,,,,,
4/4/2018,1/4 of sky,,,,,,,,,,,,,,
4/4/2018,1/4 of sky,,,,,,,,,,,,,,
4/4/2018,clear,,,,,,,,,,,,,,
4/4/2018,clear,,,,,,,,,,,,,,
4/4/2018,clear,,,,,,,,,,,,,,
4/4/2018,clear,,,,,,,,,,,,,,
4/4/2018,clear,,,,,,,,,,,,,,
2/17/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,1/4 of sky,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,1/2 of sky,,,,,,,,,,,,,,
4/5/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/6/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/6/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/7/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/6/2018,clear,,,,,,,,,,,,,,
4/6/2018,clear,,,,,,,,,,,,,,
4/6/2018,clear,,,,,,,,,,,,,,
4/6/2018,clear,,,,,,,,,,,,,,
4/6/2018,clear,,,,,,,,,,,,,,
4/6/2018,clear,,,,,,,,,,,,,,
4/6/2018,clear,,,,,,,,,,,,,,
4/6/2018,clear,,,,,,,,,,,,,,
4/6/2018,clear,,,,,,,,,,,,,,
4/6/2018,clear,,,,,,,,,,,,,,
4/6/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/6/2018,clear,,,,,,,,,,,,,,
4/6/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/6/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/6/2018,clear,,,,,,,,,,,,,,
4/6/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/17/2018,1/4 of sky,,,,,,,,,,,,,,
3/17/2018,1/4 of sky,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,1/4 of sky,,,,,,,,,,,,,,
4/5/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/4/2018,clear,,,,,,,,,,,,,,
4/7/2018,1/4 of sky,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
3/19/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/20/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/21/2018,1/4 of sky,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/7/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/7/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,1/4 of sky,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,1/4 of sky,,,,,,,,,,,,,,
4/8/2018,1/4 of sky,,,,,,,,,,,,,,
4/8/2018,1/4 of sky,,,,,,,,,,,,,,
4/8/2018,1/4 of sky,,,,,,,,,,,,,,
4/7/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/22/2018,clear,,,,,,,,,,,,,,
3/23/2018,clear,,,,,,,,,,,,,,
3/24/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/25/2018,clear,,,,,,,,,,,,,,
3/26/2018,clear,,,,,,,,,,,,,,
3/19/2018,1/2 of sky,,,,,,,,,,,,,,
3/19/2018,1/2 of sky,,,,,,,,,,,,,,
3/20/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/21/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/22/2018,1/2 of sky,,,,,,,,,,,,,,
3/23/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/24/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/25/2018,1/4 of sky,,,,,,,,,,,,,,
3/26/2018,1/4 of sky,,,,,,,,,,,,,,
4/8/2018,1/4 of sky,,,,,,,,,,,,,,
3/27/2018,1/4 of sky,,,,,,,,,,,,,,
3/28/2018,clear,,,,,,,,,,,,,,
3/29/2018,1/4 of sky,,,,,,,,,,,,,,
3/31/2018,clear,,,,,,,,,,,,,,
4/1/2018,clear,,,,,,,,,,,,,,
3/27/2018,over 1/2 of sky,,,,,,,,,,,,,,
3/28/2018,1/4 of sky,,,,,,,,,,,,,,
3/29/2018,1/2 of sky,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/8/2018,1/2 of sky,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/8/2018,1/4 of sky,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,1/2 of sky,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
3/30/2018,1/4 of sky,,,,,,,,,,,,,,
3/31/2018,clear,,,,,,,,,,,,,,
4/1/2018,clear,,,,,,,,,,,,,,
4/2/2018,clear,,,,,,,,,,,,,,
4/3/2018,1/4 of sky,,,,,,,,,,,,,,
4/4/2018,clear,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/6/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/7/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/8/2018,1/4 of sky,,,,,,,,,,,,,,
4/8/2018,1/4 of sky,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/8/2018,1/2 of sky,,,,,,,,,,,,,,
4/8/2018,clear,,,,,,,,,,,,,,
4/8/2018,1/2 of sky,,,,,,,,,,,,,,
4/8/2018,1/4 of sky,,,,,,,,,,,,,,
4/8/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/9/2018,1/4 of sky,,,,,,,,,,,,,,
4/10/2018,1/4 of sky,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/9/2018,1/2 of sky,,,,,,,,,,,,,,
4/12/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/9/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/7/2018,clear,,,,,,,,,,,,,,
3/20/2018,clear,,,,,,,,,,,,,,
4/9/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/9/2018,1/4 of sky,,,,,,,,,,,,,,
4/9/2018,over 1/2 of sky,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/9/2018,1/4 of sky,,,,,,,,,,,,,,
4/9/2018,1/4 of sky,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/9/2018,1/4 of sky,,,,,,,,,,,,,,
4/9/2018,1/2 of sky,,,,,,,,,,,,,,
4/9/2018,1/4 of sky,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/9/2018,1/4 of sky,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
4/9/2018,1/2 of sky,,,,,,,,,,,,,,
4/9/2018,clear,,,,,,,,,,,,,,
