LocalDate,CloudCover,,,,,,,,,,,,,,
1/10/2018,clear,,,,,,,,,,,,,,
1/10/2018,clear,,,,,,,,,,,,,,
1/10/2018,clear,,,,,,,,,,,,,,
1/10/2018,clear,,,,,,,,,,,,,,
1/10/2018,clear,,,,,,,,,,,,,,
1/9/2018,clear,,,,,,,,,,,,,,
1/10/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/10/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/10/2018,clear,,,,,,,,,,,,,,
1/10/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/10/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/9/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/10/2018,clear,,,,,,,,,,,,,,
1/10/2018,1/4 of sky,,,,,,,,,,,,,,
1/10/2018,1/4 of sky,,,,,,,,,,,,,,
1/10/2018,clear,,,,,,,,,,,,,,
1/10/2018,clear,,,,,,,,,,,,,,
1/11/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/10/2018,clear,,,,,,,,,,,,,,
1/10/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/10/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/8/2018,1/4 of sky,,,,,,,,,,,,,,
1/10/2018,1/2 of sky,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/10/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,1/4 of sky,,,,,,,,,,,,,,
1/11/2018,1/4 of sky,,,,,,,,,,,,,,
1/11/2018,1/4 of sky,,,,,,,,,,,,,,
1/11/2018,1/4 of sky,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,1/4 of sky,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,1/4 of sky,,,,,,,,,,,,,,
1/11/2018,1/4 of sky,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,1/4 of sky,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,1/4 of sky,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/9/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/10/2018,clear,,,,,,,,,,,,,,
1/11/2018,1/4 of sky,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/12/2018,1/4 of sky,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/10/2018,clear,,,,,,,,,,,,,,
1/11/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/12/2018,1/4 of sky,,,,,,,,,,,,,,
1/10/2018,clear,,,,,,,,,,,,,,
1/11/2018,1/2 of sky,,,,,,,,,,,,,,
1/10/2018,clear,,,,,,,,,,,,,,
1/10/2018,clear,,,,,,,,,,,,,,
1/11/2018,1/4 of sky,,,,,,,,,,,,,,
1/12/2018,1/2 of sky,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/12/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,1/4 of sky,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,1/4 of sky,,,,,,,,,,,,,,
1/12/2018,1/4 of sky,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,1/4 of sky,,,,,,,,,,,,,,
1/12/2018,1/2 of sky,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,1/4 of sky,,,,,,,,,,,,,,
1/12/2018,1/4 of sky,,,,,,,,,,,,,,
1/12/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/12/2018,1/4 of sky,,,,,,,,,,,,,,
1/12/2018,1/2 of sky,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,1/2 of sky,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,1/4 of sky,,,,,,,,,,,,,,
1/12/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/12/2018,1/2 of sky,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,1/2 of sky,,,,,,,,,,,,,,
1/12/2018,1/4 of sky,,,,,,,,,,,,,,
1/12/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/12/2018,1/4 of sky,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,1/4 of sky,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/12/2018,1/2 of sky,,,,,,,,,,,,,,
1/13/2018,1/4 of sky,,,,,,,,,,,,,,
1/12/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/12/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,1/4 of sky,,,,,,,,,,,,,,
1/11/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/10/2018,1/2 of sky,,,,,,,,,,,,,,
1/9/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/7/2018,1/2 of sky,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/12/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,1/4 of sky,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/13/2018,1/4 of sky,,,,,,,,,,,,,,
1/6/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/11/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,1/4 of sky,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,1/4 of sky,,,,,,,,,,,,,,
1/13/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/13/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/7/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,1/4 of sky,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/13/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/10/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/13/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/13/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/13/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/13/2018,1/4 of sky,,,,,,,,,,,,,,
1/13/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/14/2018,1/4 of sky,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/12/2018,1/4 of sky,,,,,,,,,,,,,,
1/13/2018,clear,,,,,,,,,,,,,,
1/12/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/11/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/12/2018,1/4 of sky,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,1/2 of sky,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,clear,,,,,,,,,,,,,,
1/14/2018,1/4 of sky,,,,,,,,,,,,,,
